name,steam_appid,genres,release_date
Prince of Persia: Warrior Within™,13500,"['Action', 'Adventure']",2009-08-27 00:00:00
Far Cry®,13520,['Action'],2008-04-01 00:00:00
Prince of Persia: The Two Thrones™,13530,"['Action', 'Adventure']",2009-08-27 00:00:00
Tom Clancy's Rainbow Six® Vegas,13540,['Action'],2008-04-09 00:00:00
Tom Clancy's Splinter Cell®,13560,['Action'],2008-04-01 00:00:00
Tom Clancy's Splinter Cell Chaos Theory®,13570,['Action'],2009-08-27 00:00:00
Tom Clancy's Splinter Cell Double Agent®,13580,['Action'],2009-02-13 00:00:00
Prince of Persia®: The Sands of Time,13600,"['Action', 'Adventure']",2009-08-27 00:00:00
Tom Clancy's Ghost Recon® Desert Siege™,13620,['Action'],2008-07-15 00:00:00
Tom Clancy's Ghost Recon® Island Thunder™,13630,['Action'],2008-07-15 00:00:00
Tom Clancy's Rainbow Six Lockdown™,15000,['Action'],2009-08-27 00:00:00
Rayman Raving Rabbids™,15080,"['Action', 'Adventure']",2008-06-13 00:00:00
Assassin's Creed™: Director's Cut Edition,15100,"['Action', 'Adventure']",2008-04-09 00:00:00
Tom Clancy's Rainbow Six® Vegas 2,15120,['Action'],2008-04-16 00:00:00
Beyond Good and Evil™,15130,"['Action', 'Adventure']",2008-05-13 00:00:00
Petz® Horsez® 2,15160,['Simulation'],2009-08-27 00:00:00
Heroes of Might & Magic V,15170,['Strategy'],2008-05-13 00:00:00
Brothers in Arms: Road to Hill 30™,15190,['Action'],2008-05-13 00:00:00
Silent Hunter®: Wolves of the Pacific,15200,['Simulation'],2009-08-27 00:00:00
Silent Hunter® III,15210,['Simulation'],2008-06-13 00:00:00
Silent Hunter®: Wolves of the Pacific U-Boat Missions,15240,['Simulation'],2009-08-27 00:00:00
Cold Fear™,15270,['Action'],2008-05-13 00:00:00
Cold Fear™,15270,['Action'],2008-05-13 00:00:00
Tom Clancy's Ghost Recon®,15300,['Action'],2008-07-15 00:00:00
IL-2 Sturmovik: 1946,15320,['Simulation'],2008-06-13 00:00:00
Heroes of Might & Magic V: Tribes of the East,15370,['Strategy'],2008-10-10 00:00:00
Heroes of Might & Magic V: Hammers of Fate,15380,['Strategy'],2008-10-10 00:00:00
Brothers in Arms: Hell's Highway™,15390,['Action'],2008-10-08 00:00:00
Harvest: Massive Encounter,15400,"['Indie', 'Strategy']",2009-01-23 00:00:00
The Wonderful End of the World,15500,"['Indie', 'Casual']",2008-07-17 00:00:00
AaAaAA!!! - A Reckless Disregard for Gravity,15520,"['Action', 'Indie', 'Sports']",2009-09-03 00:00:00
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,15560,"['Action', 'Indie', 'Sports']",2011-11-23 00:00:00
"Warhammer 40,000: Dawn of War II",15620,['Strategy'],2009-02-18 00:00:00
Oddworld: Abe's Oddysee®,15700,['Adventure'],2008-08-28 00:00:00
Oddworld: Abe's Exoddus®,15710,['Adventure'],2008-08-28 00:00:00
Oddworld: Munch's Oddysee,15740,"['Action', 'Strategy', 'Adventure']",2010-12-20 00:00:00
Oddworld: Stranger's Wrath HD,15750,"['Action', 'Strategy', 'Adventure']",2010-12-20 00:00:00
7 Wonders II,15900,['Casual'],2008-06-10 00:00:00
Luxor Amun Rising,15910,['Casual'],2008-06-10 00:00:00
Luxor 3,15930,['Casual'],2008-06-10 00:00:00
Little Farm,15960,['Casual'],2008-06-10 00:00:00
Luxor,15970,['Casual'],2008-06-10 00:00:00
Discovery! A Seek and Find Adventure,16000,['Casual'],2008-07-29 00:00:00
Samantha Swift and the Hidden Roses of Athena,16020,['Casual'],2008-10-31 00:00:00
7 Wonders: Treasures of Seven,16030,['Casual'],2008-11-14 00:00:00
